name,age group,alternate name,Age flag,age,age -uncty,age +uncty,age reference,Teff,SpT,luminosity class,distance,Lbol,Flya,Fx,Rlya,Rx,references
epsilon Eri,M,HD 22049,,0.5,0.1,0.1,S,5077,K2,V,3.203,33.092,26.6,4.10,6.05,0.932,"4, 5"
36 Oph A,M,HD 155886,,1.7,0.4,0.4,S,5103,K2,V,5.959,33.130,18.0,3.72,3.75,0.775,1
LQ Hya,Y,HD 82558,,0.07,0.02,0.03,S,5376,K2,V,18.29,33.461,59.1,243.0,5.75,23.6,1
V368 Cep,Y,HD 220140,,0.09,0.04,0.06,S,5075,K2,V,18.96,33.120,46.9,275.0,10.0,58.6,1
PW And,Y,HD 1405,,0.15,0.02,0.05,S,4796,K2,V,28.34,32.976,47.1,187.0,14.0,55.7,1
GJ 4130,O,HD 189733,,6.4,4.2,4.8,S,5019,K2,V,19.77,33.102,11.8,5.34,2.63,1.19,"2, 19"
GJ 2046,O,HD 40307,,6.9,4.0,4.0,S,4925,K2.5,V,12.94,33.010,14.2,0.0712,3.91,0.0196,"4, 5"
V471 Tau,SB,cdots,,0.63,0.05,0.05,S,5291,K2,V,47.71,33.270,277.9,1175,42.0,178,"1, 23"
Speedy Mic,Y,HD 197890,,0.03,0.01,0.01,S,4609,K3,V,66.76,33.497,214,702,19.2,"63.0,",1
epsilon Ind,M,HD 209100,,1.6,0.2,0.2,S,4649,K4,V,3.639,32.936,17.3,0.871,5.63,0.284,1
61 Cyg A,O,HD 201091,,6.0,1.0,1.0,S,4361,K5,V,3.497,32.742,8.90,0.498,4.54,0.254,1
GJ 370,O,HD 85512,,5.61,0.61,0.61,S,4455,K6,V,11.28,32.823,6.50,0.103,2.75,0.0435,"4, 5"
GJ 338A,O,HD 79210J,,5,,,Y,3940,M0,V,6.33,32.491,8.28,4.28,7.51,3.88,15
Ross 1044,O,GJ 1188,>,10,,,S,3754,M0,V,37.17,31.996,1.50,0.157,4.26,0.446,10
HIP 23309,Y,CD -57 1054,,0.0244,,,Y,3500,M0,V,26.9,32.651,16.58,135,10.40,84.7,"16, 25"
AU Mic,Y,HD 197481,,0.02,0.01,0.01,S,3588,M1,V,9.725,32.445,43.0,70.9,43.5,71.7,2
Kapteyn's Star,O,GJ 191,,11.5,1.5,,S,3570,M1,VI,3.91,31.676,0.347,0.157,2.06,0.930,"7, 11"
GJ 410,Y,HD 95650,,0.3,,,M,3775,M1,V,11.94,32.386,9.56,12.36,11.04,14.3,"16, 25"
GJ 49,O,HIP 4872,,5,,,M,3175,M1.5,V,9.86,32.180,10.27,1.32,19.06,2.45,"16, 24"
GJ 667C,M,HD 156384C,>,2,,,S,3472,M1.5,V,7.245,31.837,1.16,0.087,4.76,0.357,"4, 22"
GJ 205,O,HD 36395,,5,,,Y,3719,M1.5,V,5.70,32.361,6.59,1.67,8.06,2.04,15
GJ 3470,M,LP 424-4,,2,,,Y,3592,M2,V,29.45,32.235,3.64,0.82,5.95,1.34,18
GJ 15A,O,HD 1326,,5,,,Y,3470,M2,V,3.56,32.015,1.81,0.0458,4.91,0.124,"14, 15, 20"
GJ 887,M,HD 217987,,2.9,,,Y,3720,M2,V,3.28,32.148,3.73,0.390,7.45,0.779,15
GJ 832,O,HD 204961,,8.4,,,S,3522,M2,V,4.965,32.016,0.996,0.0650,2.70,0.176,"4, 5"
GJ 176,O,HD 285968,,4.0,0.3,0.3,S,3679,M2,V,9.473,32.113,1.49,0.183,3.24,0.397,"4, 5"
Ross 860,O,GJ 649,,5,,,Y,3590,M2,V,10.38,32.231,5.49,6.28,9.06,10.36,"14, 25"
GJ 588,O,CD -40 9712,,5,,,M,3490,M2.5,V,5.92,32.035,2.74,0.356,7.10,0.923,15
Ross 905,O,GJ 436,,4.2,0.3,0.3,S,3416,M3,V,9.756,31.978,0.850,0.0486,2.51,0.144,"4, 5"
GJ 581,O,HO Lib,,4.1,0.3,0.3,S,3415,M3,V,6.299,31.709,0.186,0.0304,1.02,0.167,"4, 5"
GJ 644B,SB,HD 152751,,5,,,M,3450,M3.5,V,6.20,32.138,13.4,14.9,27.4,30.5,15
HIP 17695,Y,G80-21,,0.1,,,Y,3400,M3,V,16.8,32.026,13.17,45.9,34.8,121.5,"16, 25"
GJ 674,M,CD -46 11540,,0.5,,,Y,3260,M3,V,4.55,31.654,1.98,1.91,12.34,12.0,"14, 24"
GJ 729,Y,V1216 Sgr,,0.5,,,Y,3240,M3.5,V,2.98,32.160,1.80,3.17,34.98,61.6,"14, 24"
Luyten's Star,O,GJ 273,,5,,,M,3290,M3.5,V,3.80,31.589,0.846,0.123,6.12,0.89,15
GJ 876,O,IL Aqr,,9.51,0.58,0.58,S,3129,M3.5,V,4.676,31.669,0.363,0.0846,2.19,0.509,"4, 5"
GJ 849,O,BD -05 5,,5,,,Y,3600,M3.5,V,8.80,32.107,1.43,0.156,3.14,0.34,"14, 20"
AD Leo,Y,GJ 388,,0.1625,0.13750000000000000,0.13750000000000000,S,3308,M3,V,4.966,31.867,9.33,19.1,35.7,73.1,2
GJ 163,O,L229-91,,5,,,Y,3225,M3.5,V,15.14,31.754,1.39,0.192,6.88,0.95,"14, 20"
Barnard's Star,O,GJ 699,,10,,,Y,3300,M4,V,1.83,31.123,0.14,0.00688,2.96,0.15,"11, 14, 20, 22"
YZ CMi,Y,GJ 285,,5,,,M,3200,M4,V,5.99,31.671,9.189,13.21,55.2,79.4,15
GJ 1132,O,L320-124,>,5,,,S,3216,M4,V,12.62,31.240,0.11,0.0363,1.92,0.588,"12, 14, 24"
GJ 1214,O,G139-21,,7.5,2.5,2.5,S,3008,M4,V,14.65,31.065,0.119,0.0308,2.88,0.745,"5, 24"
EV Lac,Y,GJ 873,,0.1625,0.13750000000000000,0.13750000000000000,S,3273,M5,V,5.050,31.663,3.07,19.5,18.7,119.0,1
LHS 2686,O,G177-25,,5,,,Y,3220,M5,V,12.19,31.118,0.39,0.967,8.54,21.18,"14, 20"
Prox Cen,O,GJ 551,,5.3,0.3,0.3,S,2840,M5.5,,1.301,30.726,0.301,0.142,16.0,7.55,2
TRAPPIST-1,O,cdots,,7.6,2.2,2.2,S,2550,M7.5,V,12.43,30.301,0.092,0.131,13.0,18.5,"8, 9, 14"
